Database,Nome da empresa,CNAE,Produto propenso,Familia do produto propenso,Secao do produto propenso,Data do contato,Comentario,Responsavel pelo contato,Diretoria do cliente,Diretoria do cliente ID,Regional do cliente,Regional do cliente ID,Agencia do cliente,Agencia do cliente ID,Gerente de gestao do cliente,Gerente de gestao do cliente ID,Gerente do cliente,Gerente do cliente ID,Credito pre aprovado,Origem do lead
2025-03-01,Atlas Logística,6357-3/44,Captação Bruta,Captação,Captação,2025-03-06,Cliente deseja simular condições personalizadas antes da próxima reunião.,Ana Lima,Norte & Nordeste,1,Regional Fortaleza,1234,Fortaleza Centro,1001,Danilo Dourado,1026752,Ana Lima,9937874,60000,smart
2025-03-02,Horizonte Alimentos,8511-3/54,Captação Líquida,Captação,Captação,2025-03-07,Interessado em migrar folha de pagamento junto com o pacote de crédito.,Paulo Nunes,Norte & Nordeste,1,Regional Fortaleza,1234,Fortaleza Centro,1001,Danilo Dourado,1026752,Ana Lima,9937874,65500,smart
2025-03-03,Prime Empreendimentos,2073-4/73,Portabilidade de Previdência,Portabilidade de Previdência,Captação,2025-03-08,Preferiu aguardar aprovação do conselho administrativo para avançar.,Juliana Prado,Norte & Nordeste,1,Regional Fortaleza,1234,Fortaleza Centro,1001,Danilo Dourado,1026752,Ana Lima,9937874,71000,smart
2025-03-04,Vanguarda Transportes,3170-3/80,Centralização de Caixa,Centralização de Caixa,Captação,2025-03-09,Aguardando retorno sobre implantação de centralização de caixa.,Bruno Garcia,Norte & Nordeste,1,Regional Fortaleza,1234,Fortaleza Centro,1001,Danilo Dourado,1026752,Ana Lima,9937874,76500,smart
2025-03-05,Epicentro Distribuição,9486-9/52,Produção de Crédito PJ,Produção de Crédito PJ,Crédito,2025-03-10,Pediu visita técnica para apresentação das ferramentas digitais.,Carla Menezes,Norte & Nordeste,1,Regional Fortaleza,1234,Fortaleza Centro,1001,Danilo Dourado,1026752,Ana Lima,9937874,82000,smart
2025-03-06,Sirius Construções,8797-3/23,Limite Rotativo PJ (Volume),Limite Rotativo PJ,Crédito,2025-03-11,Contato demonstra potencial para cross-sell com seguros empresariais.,Helena Costa,Norte & Nordeste,2,Regional Recife,3345,Recife Boa Vista,1002,Pedro Vinicius,9202947,Paulo Nunes,7726536,87500,link
2025-03-07,Delta Hotelaria,2728-4/51,Limite Rotativo PJ (Quantidade),Limite Rotativo PJ,Crédito,2025-03-12,Indicou necessidade de capital de giro para expansão imediata.,Rafael Souza,Norte & Nordeste,2,Regional Recife,3345,Recife Boa Vista,1002,Pedro Vinicius,9202947,Paulo Nunes,7726536,93000,link
2025-03-08,Nexus Segurança Patrimonial,3797-9/67,Consórcios,Consórcios,Ligadas,2025-03-13,"Negociação em fase final, pendente apenas revisão contratual.",Fernanda Dias,Norte & Nordeste,2,Regional Recife,3345,Recife Boa Vista,1002,Pedro Vinicius,9202947,Paulo Nunes,7726536,98500,link
2025-03-09,Pioneira Saúde Integrada,1314-2/26,Cartões,Cartões,Ligadas,2025-03-14,Necessário envio de documentação complementar até sexta-feira.,Lara Costa,Norte & Nordeste,2,Regional Recife,3345,Recife Boa Vista,1002,Pedro Vinicius,9202947,Paulo Nunes,7726536,104000,link
2025-03-10,Platina Gestão Ambiental,1841-2/20,Seguros,Seguros,Ligadas,2025-03-15,Solicitou proposta integrada com soluções digitais de cobrança.,Sofia Martins,Norte & Nordeste,2,Regional Recife,3345,Recife Boa Vista,1002,Pedro Vinicius,9202947,Paulo Nunes,7726536,109500,link
2025-03-11,Orion Eventos,5129-3/43,Captação Bruta,Captação,Captação,2025-03-16,Cliente deseja simular condições personalizadas antes da próxima reunião.,Tiago Andrade,Sudeste,2,Regional Sao Paulo,5675,Avenida Paulista,1004,Juliane Negretti,3166765,Juliana Prado,3425342,115000,smart
2025-03-12,Valoriza Importação e Exportação,5365-3/99,Captação Líquida,Captação,Captação,2025-03-17,Interessado em migrar folha de pagamento junto com o pacote de crédito.,Eduardo Freitas,Sudeste,2,Regional Sao Paulo,5675,Avenida Paulista,1004,Juliane Negretti,3166765,Juliana Prado,3425342,120500,smart
2025-03-13,Aliança Incorporação,7900-9/20,Portabilidade de Previdência,Portabilidade de Previdência,Captação,2025-03-18,Preferiu aguardar aprovação do conselho administrativo para avançar.,Ana Lima,Sudeste,2,Regional Sao Paulo,5675,Avenida Paulista,1004,Juliane Negretti,3166765,Juliana Prado,3425342,126000,smart
2025-03-14,Capital Sistemas Digitais,2576-9/85,Centralização de Caixa,Centralização de Caixa,Captação,2025-03-19,Aguardando retorno sobre implantação de centralização de caixa.,Paulo Nunes,Sudeste,2,Regional Sao Paulo,5675,Avenida Paulista,1004,Juliane Negretti,3166765,Juliana Prado,3425342,131500,smart
2025-03-15,Evolua Serviços Marítimos,3273-4/14,Produção de Crédito PJ,Produção de Crédito PJ,Crédito,2025-03-20,Pediu visita técnica para apresentação das ferramentas digitais.,Juliana Prado,Sudeste,2,Regional Sao Paulo,5675,Avenida Paulista,1004,Juliane Negretti,3166765,Juliana Prado,3425342,137000,smart
2025-03-16,Expansão Holding,5568-5/69,Limite Rotativo PJ (Volume),Limite Rotativo PJ,Crédito,2025-03-21,Contato demonstra potencial para cross-sell com seguros empresariais.,Bruno Garcia,Sudeste,4,Regional Sao Paulo,1253,Avenida Paulista,1004,Bruno Moreira,2266483,Bruno Garcia,8778390,142500,link
2025-03-17,Conecta Facilities,2033-4/53,Limite Rotativo PJ (Quantidade),Limite Rotativo PJ,Crédito,2025-03-22,Indicou necessidade de capital de giro para expansão imediata.,Carla Menezes,Sudeste,4,Regional Sao Paulo,1253,Avenida Paulista,1004,Bruno Moreira,2266483,Bruno Garcia,8778390,148000,link
2025-03-18,Soma Indústria Química,9951-7/21,Consórcios,Consórcios,Ligadas,2025-03-23,"Negociação em fase final, pendente apenas revisão contratual.",Helena Costa,Sudeste,4,Regional Sao Paulo,1253,Avenida Paulista,1004,Bruno Moreira,2266483,Bruno Garcia,8778390,153500,link
2025-03-19,Elos Logística,9244-3/20,Cartões,Cartões,Ligadas,2025-03-24,Necessário envio de documentação complementar até sexta-feira.,Rafael Souza,Sudeste,4,Regional Sao Paulo,1253,Avenida Paulista,1004,Bruno Moreira,2266483,Bruno Garcia,8778390,159000,link
2025-03-20,Metta Alimentos,3286-4/60,Seguros,Seguros,Ligadas,2025-03-25,Solicitou proposta integrada com soluções digitais de cobrança.,Fernanda Dias,Sudeste,4,Regional Sao Paulo,1253,Avenida Paulista,1004,Bruno Moreira,2266483,Bruno Garcia,8778390,164500,link
2025-03-01,Vector Tecnologia,5112-1/81,Captação Bruta,Captação,Captação,2025-03-06,Cliente deseja simular condições personalizadas antes da próxima reunião.,Lara Costa,Sul & Centro-Oeste,5,Regional Curitiba,5577,Curitiba Batel,1003,Paula Cristina,1098367,Carla Menezes,6766543,170000,smart
2025-03-02,Fator Serviços Corporativos,5669-2/38,Captação Líquida,Captação,Captação,2025-03-07,Interessado em migrar folha de pagamento junto com o pacote de crédito.,Sofia Martins,Sul & Centro-Oeste,5,Regional Curitiba,5577,Curitiba Batel,1003,Paula Cristina,1098367,Carla Menezes,6766543,175500,smart
2025-03-03,Âncora Energia Renovável,2200-1/52,Portabilidade de Previdência,Portabilidade de Previdência,Captação,2025-03-08,Preferiu aguardar aprovação do conselho administrativo para avançar.,Tiago Andrade,Sul & Centro-Oeste,5,Regional Curitiba,5577,Curitiba Batel,1003,Paula Cristina,1098367,Carla Menezes,6766543,181000,smart
2025-03-04,Serena Construções,9115-2/20,Centralização de Caixa,Centralização de Caixa,Captação,2025-03-09,Aguardando retorno sobre implantação de centralização de caixa.,Eduardo Freitas,Sul & Centro-Oeste,5,Regional Curitiba,5577,Curitiba Batel,1003,Paula Cristina,1098367,Carla Menezes,6766543,186500,smart
2025-03-05,Rumo Hotelaria,4439-4/25,Produção de Crédito PJ,Produção de Crédito PJ,Crédito,2025-03-10,Pediu visita técnica para apresentação das ferramentas digitais.,Ana Lima,Sul & Centro-Oeste,5,Regional Curitiba,5577,Curitiba Batel,1003,Paula Cristina,1098367,Carla Menezes,6766543,192000,smart
2025-03-06,Portal Atacado,2601-9/98,Limite Rotativo PJ (Volume),Limite Rotativo PJ,Crédito,2025-03-11,Contato demonstra potencial para cross-sell com seguros empresariais.,Paulo Nunes,Norte & Nordeste,1,Regional Salvador,2234,Salvador Comércio,1010,Marcos Vieira,1200456,Helena Costa,9988776,197500,link
2025-03-07,Crescente Telecom,2055-9/69,Limite Rotativo PJ (Quantidade),Limite Rotativo PJ,Crédito,2025-03-12,Indicou necessidade de capital de giro para expansão imediata.,Juliana Prado,Norte & Nordeste,1,Regional Salvador,2234,Salvador Comércio,1010,Marcos Vieira,1200456,Helena Costa,9988776,203000,link
2025-03-08,Odisseia Automação,2750-2/13,Consórcios,Consórcios,Ligadas,2025-03-13,"Negociação em fase final, pendente apenas revisão contratual.",Bruno Garcia,Norte & Nordeste,1,Regional Salvador,2234,Salvador Comércio,1010,Marcos Vieira,1200456,Helena Costa,9988776,208500,link
